INSTNM,STABBR,PREDDEG,ST_FIPS,REGION,SAT_AVG,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COSTT4_A,AVGFACSAL,C150_4,PFTFTUG1_EF,C150_4_WHITE,C150_4_BLACK,C200_4,PCTFLOAN,DEBT_MDN
Valparaiso University,IN,3,18,3,1153,3236,0.7157,0.0637,0.089,0.0204,0.0019,0.0003,0.029,0.0532,0.0269,47855,7814,0.657,0.8155,0.6875,0.5682,0.6733,0.6032,23500
University of Evansville,IN,3,18,3,1147,2164,0.7098,0.0319,0.0388,0.0199,0.0009,0,0.0213,0.152,0.0254,45967,8037,0.6925,0.8832,0.6965,0.5385,0.6445,0.4805,21500
Wabash College,IN,3,18,3,1145,841,0.7206,0.0642,0.0844,0.0131,0.0024,0,0.0238,0.0666,0.025,51440,8516,0.7184,0.9729,0.7366,0.5385,0.7251,0.6789,25000
Taylor University,IN,3,18,3,1138,1845,0.8298,0.0336,0.0369,0.026,0.0103,0.0022,0.0038,0.0575,0,41915,6651,0.7602,0.9025,0.7794,0.2222,0.7462,0.4628,17948
Saint Mary's College,IN,3,18,3,1117,1576,0.7728,0.0203,0.1117,0.0209,0.0013,0.0006,0.0317,0.0152,0.0254,50909,7466,0.7688,0.933,0.7761,0.6667,0.8154,0.6275,25000
Hanover College,IN,3,18,3,1093,1083,0.8052,0.0517,0.0286,0.0111,0.0065,0.0009,0.0139,0.0379,0.0443,47421,7626,0.7063,0.9595,0.7197,0.4762,0.686,0.6417,23691
Trine University,IN,3,18,3,1079,1767,0.7736,0.0345,0.0379,0.0096,0.0023,0.0017,0.0283,0.0889,0.0232,46575,7644,0.5583,0.89,0.5652,0.3333,0.5372,0.4019,16000
Indiana Wesleyan University-Marion,IN,3,18,3,1077,2679,0.8234,0.0272,0.0422,0.0119,0.0007,0.0007,0.0325,0.0097,0.0515,36050,7127,0.6524,0.8792,0.6587,0.4667,0.6508,0.5449,16183
Grace College and Theological Seminary,IN,3,18,3,1076,1579,0.8018,0.0602,0.0513,0.012,0.0025,0,0.0272,0.0044,0.0405,32113,7259,0.6137,0.878,0.6276,0.4,0.6848,0.5286,18925
Goshen College,IN,3,18,3,1074,793,0.6406,0.0416,0.1841,0.0177,0.0013,0,0.0227,0.087,0.005,41312,5428,0.6816,0.7974,0.7031,0.3333,0.7384,0.5653,15000
Ball State University,IN,3,18,3,1057,16260,0.8035,0.0784,0.0437,0.0112,0.0003,0.0011,0.0292,0.0171,0.0156,23157,7381,0.5802,0.8134,0.6026,0.3436,0.6206,0.5865,18000
Holy Cross College,IN,3,18,3,1053,606,0.637,0.1221,0.0974,0.0149,0.005,0.005,0.0363,0.0347,0.0479,39437,5201,0.4069,0.757,0.4757,0.2727,0.3015,0.5306,11000
Bethel University,IN,3,18,3,1039,1339,0.7229,0.1113,0.0762,0.0187,0.003,0.0022,0.0456,0.0127,0.0075,37918,5729,0.6543,0.6496,0.6933,0.1538,0.7191,0.7367,19500
University of Indianapolis,IN,3,18,3,1033,4242,0.678,0.0922,0.049,0.017,0.0017,0.0009,0.0257,0.0811,0.0545,39236,7286,0.5476,0.7837,0.5759,0.3699,0.5207,0.5983,18773
Indiana University-Purdue University-Indianapolis,IN,3,18,3,1025,21001,0.7054,0.0994,0.067,0.0395,0.0009,0.0008,0.0405,0.0404,0.006,20451,8183,0.4629,0.7135,0.4725,0.3178,0.4807,0.5173,14150.5
Marian University,IN,3,18,3,1025,2019,0.7291,0.1223,0.048,0.0178,0.0025,0.0015,0.0312,0.0119,0.0357,43723,6407,0.5552,0.571,0.594,0.2381,0.5466,0.6966,19116.5
Manchester University,IN,3,18,3,1019,1253,0.7741,0.067,0.0559,0.016,0.0024,0,0.0375,0.0399,0.0072,41953,7316,0.5704,0.9262,0.5903,0.2353,0.5556,0.9254,15750
Anderson University,IN,3,18,3,1019,1702,0.8049,0.0858,0.0223,0.0153,0.0106,0.0035,0.0035,0.0241,0.03,40443,6472,0.5821,0.8246,0.6021,0.2917,0.6333,0.6717,20209
Huntington University,IN,3,18,3,1019,924,0.842,0.0216,0.0476,0.0022,0.0022,0,0.0335,0.0509,0,36227,6272,0.654,0.7656,0.671,1,0.6,0.6771,22500
University of Southern Indiana,IN,3,18,3,1005,7764,0.8706,0.0431,0.0286,0.0133,0.0019,0.0008,0.0232,0.0182,0.0004,17692,7109,0.3753,0.7704,0.3978,0.1806,0.4139,0.4726,12387.5
University of Saint Francis-Fort Wayne,IN,3,18,3,1001,1758,0.8015,0.0745,0.0762,0.0114,0.0017,0.0017,0.0193,0.0051,0.0085,35524,6132,0.5596,0.6197,0.598,0.4167,0.5126,0.735,18250
Saint Josephs College,IN,3,18,3,999,947,0.7635,0.0993,0.057,0.0042,0.0021,0,0.0412,0.0264,0.0063,39362,5883,0.5019,0.8132,0.555,0.2857,0.4223,0.5823,12750
Franklin College,IN,3,18,3,991,975,0.8421,0.0482,0.0359,0.0103,0.0021,0,0.04,0.0051,0.0164,40901,6614,0.6574,0.8782,0.6694,0.5455,0.6113,0.5621,20890
Purdue University-Calumet Campus,IN,3,18,3,978,7100,0.5501,0.1258,0.1973,0.0293,0.0021,0.0014,0.0263,0.0517,0.0159,16667,8525,0.3181,0.4391,0.3622,0.1656,0.3633,0.39,13693
Oakland City University,IN,3,18,3,978,496,0.7198,0.0726,0.0262,0.002,0.004,0,0.0121,0.0383,0.125,36221,5225,0.3385,0.5478,0.3547,0.2581,0.5273,0.2667,14875
Purdue University Fort Wayne,IN,3,18,3,976,8302,0.8146,0.0485,0.055,0.0259,0.0022,0.0005,0.031,0.0181,0.0042,18010,7631,0.2163,0.7119,0.2346,0.0459,0.2914,0.3782,12500
Purdue University-North Central Campus,IN,3,18,3,968,2519,0.815,0.0385,0.1016,0.0115,0.0036,0.0004,0.025,0.004,0.0004,14017,7879,0.2311,0.6799,0.2354,0.1724,0.2542,0.2834,12000
Indiana University-South Bend,IN,3,18,3,952,4981,0.7288,0.0761,0.1034,0.0145,0.0024,0.0008,0.0355,0.0303,0.0082,16584,6201,0.2994,0.6515,0.307,0.16,0.3228,0.3807,11912
Indiana University-East,IN,3,18,3,949,3082,0.864,0.0438,0.0263,0.0094,0.0029,0.0003,0.0302,0.0091,0.014,15715,6210,0.328,0.4517,0.3256,0.1111,0.3127,0.3928,12734
Indiana Institute of Technology,IN,3,18,3,944,7179,0.3551,0.3697,0.041,0.0042,0.0026,0.0014,0.0265,0.0432,0.1564,37135,7573,0.3289,0.3093,0.5491,0.2581,0.351,0.8418,9500
Indiana University-Southeast,IN,3,18,3,943,4964,0.8409,0.0703,0.0346,0.0123,0.0014,0.001,0.03,0.0048,0.0046,16760,6719,0.3185,0.6396,0.3386,0.1321,0.3589,0.436,10651
Indiana University-Northwest,IN,3,18,3,939,3727,0.5468,0.1629,0.2195,0.0247,0.0016,0.0003,0.0292,0.0032,0.0118,14022,6745,0.2449,0.6371,0.3227,0.0592,0.3474,0.3895,11862
Indiana University-Kokomo,IN,3,18,3,938,2771,0.843,0.0411,0.0484,0.0076,0.0029,0.0011,0.0292,0.0061,0.0206,16331,6091,0.3913,0.6122,0.4108,0.1667,0.3144,0.3905,11243.5
Saint Mary-of-the-Woods College,IN,3,18,3,928,569,0.7909,0.051,0.0176,0.007,0.0088,0,0.0176,0.0088,0.0984,43341,5306,0.4494,0.4317,0.5294,0,0.4646,0.6657,12655
Indiana State University,IN,3,18,3,907,10601,0.6518,0.1921,0.0392,0.0109,0.003,0.0004,0.0364,0.0596,0.0065,20140,7226,0.3677,0.7249,0.4295,0.2073,0.4149,0.5901,12000
University of Kansas,KS,3,20,4,1185,18845,0.7158,0.042,0.0767,0.0463,0.0038,0.0003,0.049,0.0584,0.0077,23687,10003,0.6343,0.7539,0.6539,0.3566,0.6198,0.435,14275.5
Benedictine College,KS,3,20,4,1116,1936,0.7774,0.032,0.0615,0.0083,0.0031,0.0046,0.0036,0.016,0.0935,40871,6720,0.6289,0.896,0.6805,0.3571,0.596,0.5192,20053
Wichita State University,KS,3,20,4,1102,11030,0.6135,0.0579,0.1135,0.0734,0.0066,0.0008,0.0407,0.0704,0.023,18646,7573,0.46,0.5026,0.4987,0.2125,0.5004,0.5085,14000
Newman University,KS,3,20,4,1079,1095,0.632,0.053,0.1461,0.0475,0.0137,0.0009,0.0274,0.0776,0.0018,33632,5358,0.5051,0.5422,0.5163,0.3333,0.4696,0.2317,15500
Baker University,KS,3,20,4,1053,1581,0.716,0.0949,0.0772,0.0082,0.0158,0.0044,0.0196,0.012,0.0519,41824,6019,0.5507,0.6118,0.5839,0.381,0.5851,0.6806,19500
Emporia State University,KS,3,20,4,1029,3578,0.701,0.0548,0.0671,0.0087,0.0036,0.0006,0.076,0.0741,0.0143,17347,6729,0.4383,0.6532,0.467,0.325,0.4227,0.5541,12500
Manhattan Christian College,KS,3,20,4,1022,258,0.6318,0.0426,0.0581,0.0039,0,0,0.0194,0.0233,0.2209,26561,5079,0.5641,0.7895,0.6984,0,0.5682,0.763,10500
McPherson College,KS,3,20,4,1011,678,0.6785,0.1091,0.1239,0.0074,0.0103,0.0015,0.0162,0.0221,0.031,38359,5853,0.3706,0.7414,0.3893,0.45,0.4963,0.7326,15000
Pittsburg State University,KS,3,20,4,1010,5536,0.789,0.0388,0.0549,0.009,0.0126,0.0009,0.0603,0.0327,0.0016,17292,7136,0.487,0.6651,0.5104,0.3143,0.5062,0.5738,13500
University of Saint Mary,KS,3,20,4,1005,765,0.5752,0.0915,0.1974,0.0118,0.0039,0.0092,0.0431,0.0131,0.0549,36744,6686,0.3358,0.5374,0.44,0.125,0.354,0.5143,15000
Kansas Wesleyan University,KS,3,20,4,1003,678,0.6593,0.1209,0.1519,0.0059,0.0044,0.0044,0.0221,0.0192,0.0118,39742,5875,0.3571,0.6445,0.4206,0.0556,0.3261,0.7928,12500
Friends University,KS,3,20,4,1002,1164,0.6452,0.1194,0.067,0.0086,0.012,0.0017,0.0713,0.0017,0.073,34046,6570,0.3568,0.4256,0.4318,0.0909,0.3699,0.6449,18979
MidAmerica Nazarene University,KS,3,20,4,994,1224,0.634,0.1413,0.0163,0.0147,0.0139,0.0098,0.0212,0,0.1487,37482,6204,0.569,0.334,0.6486,0.087,0.5144,0.6705,15000
Tabor College,KS,3,20,4,971,642,0.6573,0.095,0.1324,0.0047,0.0078,0.0016,0.0405,0.0374,0.0234,39751,4352,0.4837,0.5965,0.5714,0.2222,0.4965,0.7692,15000
Sterling College,KS,3,20,4,967,624,0.7003,0.1186,0.1298,0.0112,0.0369,0,0,0,0.0032,33742,4451,0.4497,0.6702,0.4833,0.2,0.4267,0.7358,14000
Bethany College,KS,3,20,4,960,655,0.5267,0.1786,0.1588,0.0122,0.0092,0.0092,0.029,0.0763,0,40631,4076,0.4233,0.7186,0.4077,0.5455,0.3793,0.7067,10729
Southwestern College,KS,3,20,4,959,1168,0.4572,0.1053,0.0753,0.012,0.018,0.0009,0.0377,0.042,0.2517,39130,6080,0.3779,0.4596,0.4352,0.05,0.5443,0.458,15775
Central Christian College of Kansas,KS,3,20,4,921,827,0.5453,0.2261,0.127,0.0109,0.0254,0.0012,0.0169,0.0097,0.0375,25417,3508,0.2982,0.3574,0.4286,0.2174,0.3226,0.4456,10959
Centre College,KY,3,21,5,1266,1422,0.7553,0.0506,0.0415,0.0457,0.0035,0.0014,0.0295,0.0675,0.0049,50976,8232,0.8624,0.978,0.866,0.8889,0.8214,0.4353,25990
University of Louisville,KY,3,21,5,1165,15033,0.7469,0.1117,0.0436,0.0359,0.001,0.0006,0.0468,0.0123,0.0012,24768,8876,0.5269,0.7075,0.5228,0.4858,0.5678,0.3981,12500
University of Kentucky,KY,3,21,5,1159,22244,0.7554,0.0788,0.044,0.0253,0.0017,0.0009,0.0367,0.0283,0.029,26143,10251,0.6396,0.8399,0.6534,0.514,0.625,0.4348,15000
Asbury University,KY,3,21,5,1124,1498,0.8158,0.0354,0.0354,0.012,0.0007,0.002,0.004,0.0294,0.0654,37339,6520,0.6351,0.7133,0.6468,0,0.6731,0.555,19500
Berea College,KY,3,21,5,1123,1612,0.5862,0.1489,0.0949,0.0192,0.0025,0.0019,0.0614,0.0757,0.0093,34980,7717,0.6294,0.897,0.5967,0.6316,0.6271,0.1814,4556.5
Bellarmine University,KY,3,21,5,1118,2569,0.8182,0.0424,0.0335,0.0222,0.0043,0.0008,0.0296,0.0093,0.0397,51346,8012,0.6353,0.8697,0.6511,0.5385,0.6825,0.6235,18750
Murray State University,KY,3,21,5,1101,7655,0.8108,0.0695,0.0193,0.008,0.0024,0.0005,0.0248,0.0418,0.0229,17948,7050,0.4864,0.6956,0.4974,0.3679,0.5324,0.4614,15000
Northern Kentucky University,KY,3,21,5,1066,11033,0.8212,0.0732,0.0326,0.0112,0.003,0.0004,0.0249,0.0273,0.0062,16855,7548,0.3762,0.7405,0.4034,0.2267,0.4034,0.4958,14500
Morehead State University,KY,3,21,5,1066,6647,0.8811,0.039,0.017,0.0047,0.0017,0.0009,0.0209,0.0262,0.0086,19454,6605,0.4545,0.7535,0.4627,0.2969,0.4893,0.4718,15213.5
Georgetown College,KY,3,21,5,1061,986,0.7992,0.0842,0.001,0.0081,0.003,0.001,0.0375,0.0081,0.0578,46397,6124,0.5714,0.8414,0.5892,0.3704,0.6675,0.7073,18500
Brescia University,KY,3,21,5,1060,956,0.6464,0.1454,0.0659,0.0063,0.0063,0.001,0.0031,0.0241,0.1015,30236,5248,0.2743,0.496,0.2747,0.3077,0.2679,0.7051,17690.5
Eastern Kentucky University,KY,3,21,5,1049,13127,0.8487,0.059,0.0275,0.0067,0.0027,0.001,0.0259,0.0149,0.0137,19584,7049,0.407,0.7064,0.4216,0.2643,0.4459,0.5513,14000
Western Kentucky University,KY,3,21,5,1044,14956,0.7656,0.0979,0.03,0.0132,0.0019,0.0009,0.0296,0.0536,0.0071,18309,7188,0.4453,0.7418,0.4958,0.204,0.5415,0.4529,14250
Thomas More University,KY,3,21,5,1027,1406,0.776,0.0725,0.0256,0.0071,0.0014,0.0028,0.0377,0.0064,0.0704,37969,6313,0.5051,0.8501,0.5097,0.5,0.4585,0.515,15077
University of the Cumberlands,KY,3,21,5,1025,1935,0.77,0.0532,0.0196,0.0041,0.0036,0.0005,0.0155,0.0403,0.093,36305,4971,0.426,0.7125,0.4499,0.3529,0.3598,0.4131,9013
Alice Lloyd College,KY,3,21,5,1010,605,0.962,0.0083,0.0099,0,0.0017,0,0.0017,0.005,0.0116,23289,4728,0.314,0.8342,0.3212,0,0.5238,0.6234,9000
Campbellsville University,KY,3,21,5,1008,2224,0.7113,0.1268,0.0283,0.0027,0.0049,0.0009,0.0189,0.0958,0.0103,34874,5135,0.3586,0.6721,0.4118,0.1646,0.4048,0.5106,11000
Kentucky Wesleyan College,KY,3,21,5,992,686,0.7289,0.1647,0.0146,0.0102,0.0015,0,0,0,0.0802,33992,5249,0.3812,0.7854,0.4527,0.2083,0.4155,0.7558,12000
Spalding University,KY,3,21,5,972,1142,0.6821,0.197,0.0368,0.0175,0.0009,0.0009,0.0377,0.0026,0.0245,34354,6978,0.4722,0.484,0.5645,0.2667,0.451,0.6318,16334
Midway University,KY,3,21,5,967,993,0.7734,0.0896,0.0443,0.005,0,0.001,0.0252,0.0403,0.0211,36773,6212,0.6495,0.3839,0.6818,0.4444,0.2917,0.6748,15069
Kentucky Christian University,KY,3,21,5,962,471,0.6921,0.1104,0.017,0.0021,0.0021,0,0.0085,0.0276,0.1401,31003,4804,0.2879,0.7789,0.3232,0.2105,0.3438,0.6982,13603.5
Union College,KY,3,21,5,950,912,0.7007,0.1458,0.0307,0.0033,0.0033,0.0011,0.0417,0.0636,0.0099,35838,4817,0.2704,0.7976,0.2893,0.1111,0.3457,0.6993,12000
University of Pikeville,KY,3,21,5,927,1150,0.853,0.0983,0.0174,0.0061,0.0017,0.0009,0,0.0226,0,34547,5995,0.2748,0.77,0.2896,0.1731,0.3951,0.6014,11000
Kentucky State University,KY,3,21,5,907,1287,0.2906,0.5695,0.0241,0.0078,0.0054,0,0.0295,0.0047,0.0684,17874,6401,0.1986,0.4899,0.1915,0.1954,0.2115,0.6301,17388.5
Tulane University of Louisiana,LA,3,22,5,1346,7924,0.7091,0.0856,0.0651,0.0394,0.0015,0.0011,0.0351,0.0394,0.0237,64926,11484,0.833,0.9577,0.8411,0.6863,0.8318,0.308,22000
Loyola University New Orleans,LA,3,22,5,1165,2391,0.5236,0.1568,0.1711,0.0301,0.0042,0.0004,0.0498,0.0222,0.0418,52014,8780,0.5539,0.8669,0.5833,0.458,0.631,0.5819,20500
Louisiana State University and Agricultural & Mechanical College,LA,3,22,5,1162,24365,0.7248,0.1216,0.0619,0.0425,0.0031,0.0011,0.0211,0.0187,0.0052,24441,9529,0.6798,0.8739,0.7021,0.5589,0.671,0.3666,13070.5
Centenary College of Louisiana,LA,3,22,5,1121,473,0.649,0.1628,0.0698,0.0275,0.0148,0.0021,0.0613,0.0127,0,49351,7067,0.4688,0.9028,0.5649,0.2414,0.5203,0.608,18450
Louisiana Tech University,LA,3,22,5,1105,8009,0.6908,0.1388,0.0388,0.0121,0.0035,0.0005,0.0273,0.0226,0.0654,18954,7273,0.519,0.8577,0.5475,0.3715,0.5665,0.2932,12000
University of Louisiana at Lafayette,LA,3,22,5,1089,15030,0.6297,0.2044,0.0476,0.022,0.0008,0.0002,0.0148,0.0184,0.0621,18910,8270,0.4547,0.7513,0.4847,0.3443,0.5351,0.3783,11882
Southern University and A & M College,LA,3,22,5,1080,4858,0.027,0.9245,0.0064,0.0033,0.0019,0,0.0251,0.0056,0.0064,19955,6173,0.2923,0.7614,0.2,0.2897,0.4052,0.8059,16419
University of Louisiana at Monroe,LA,3,22,5,1057,6150,0.6231,0.2476,0.021,0.018,0.0042,0.0005,0.0236,0.0372,0.0247,18491,7332,0.4346,0.7461,0.463,0.3696,0.4095,0.4643,10848
Xavier University of Louisiana,LA,3,22,5,1054,2214,0.0271,0.7981,0.0321,0.0781,0.0014,0.0014,0.0357,0.0194,0.0068,32796,8478,0.4196,0.9037,0.3077,0.4271,0.4439,0.6382,14203
Louisiana State University-Shreveport,LA,3,22,5,1048,2199,0.5666,0.2224,0.0409,0.0209,0.005,0.0009,0.0432,0.02,0.08,17043,6449,0.3593,0.4468,0.3964,0.1333,0.3381,0.3841,11500
University of New Orleans,LA,3,22,5,1034,5987,0.5313,0.1583,0.1231,0.0845,0.0037,0.0005,0.0426,0.0426,0.0134,18164,7543,0.3637,0.525,0.381,0.2886,0.3769,0.3301,9750
Nicholls State University,LA,3,22,5,1030,5278,0.6677,0.2141,0.0373,0.011,0.0191,0.0002,0.0316,0.0127,0.0063,18549,5843,0.4656,0.7645,0.5039,0.2965,0.4467,0.5077,11025
McNeese State University,LA,3,22,5,1027,6083,0.6719,0.1779,0.0307,0.0159,0.0036,0.0007,0.0307,0.0686,0,17940,6629,0.421,0.7955,0.4475,0.2768,0.4508,0.3803,10990
Southeastern Louisiana University,LA,3,22,5,1010,10839,0.6297,0.1962,0.0824,0.0072,0.0025,0.0008,0.0575,0.0151,0.0086,18397,6198,0.3985,0.6263,0.4145,0.3183,0.4127,0.3891,9408
Franciscan Missionaries of Our Lady University,LA,3,22,5,1010,1215,0.5975,0.1811,0.1029,0.0305,0.0066,0.0016,0,0,0.0798,25763,6613,0.4658,0.2799,0.4583,0.5385,0.3636,0.8334,14823
Northwestern State University of Louisiana,LA,3,22,5,1006,7498,0.5357,0.3122,0.0588,0.0068,0.0151,0.0015,0.0357,0.0153,0.0188,20263,6210,0.3532,0.6018,0.3808,0.273,0.4007,0.4797,12500
Louisiana College,LA,3,22,5,970,868,0.6244,0.2938,0.0207,0.0069,0.0092,0.0012,0.0081,0.0323,0.0035,24134,5643,0.354,0.8052,0.4178,0.0638,0.4725,0.6519,10500
Louisiana State University-Alexandria,LA,3,22,5,969,2579,0.6541,0.1842,0.026,0.0101,0.0535,0,0.0271,0.0353,0.0097,13520,5521,0.2606,0.5897,0.2713,0.0857,0.2769,0.3985,7500
University of Holy Cross,LA,3,22,5,950,762,0.2559,0.1614,0.0643,0.0354,0.0013,0.0013,0,0,0.4803,19397,6073,0.2778,0.3607,0.4,0.6667,0.0891,0.6109,14250
Dillard University,LA,3,22,5,931,1261,0.0111,0.8937,0.0048,0,0.0008,0.0048,0.0048,0.0182,0.0619,29900,6203,0.3893,0.8627,0,0.3596,0.3988,0.8743,24051
Grambling State University,LA,3,22,5,874,3882,0.0075,0.9075,0.0121,0.0013,0.0023,0.0005,0.0165,0.0477,0.0046,24632,5336,0.3357,0.7389,0.2,0.3577,0.3539,0.9292,20000
Southern University at New Orleans,LA,3,22,5,850,1745,0.0235,0.8287,0.0046,0.0046,0.0023,0,0,0.0103,0.1261,11515,5913,0.163,0.3824,0,0.1661,0.1685,0.6615,18632
Massachusetts Institute of Technology,MA,3,25,1,1519,4489,0.3511,0.0599,0.1495,0.2589,0.0011,0.0002,0.0666,0.0953,0.0174,63250,17545,0.9276,0.9823,0.9255,0.8824,0.9312,0.1555,15346
Harvard University,MA,3,25,1,1506,7447,0.4296,0.0686,0.1111,0.1881,0.0032,0.0005,0.0653,0.112,0.0216,64400,19152,0.9723,0.9928,0.9752,0.9417,0.9831,0.0355,7000
Franklin W Olin College of Engineering,MA,3,25,1,1490,331,0.5408,0.0091,0.0574,0.142,0.003,0,0.0695,0.0785,0.0997,65701,11346,0.8556,0.9294,0.8409,1,0.96,0.3225,14857
Amherst College,MA,3,25,1,1451,1846,0.428,0.1159,0.1371,0.1408,0.0043,0,0.0488,0.0937,0.0314,66572,12751,0.9346,0.9671,0.942,0.8852,0.9475,0.1655,12000
Tufts University,MA,3,25,1,1445,5459,0.5649,0.0423,0.0661,0.1189,0,0,0.0465,0.1031,0.0581,65814,11728,0.9208,0.8445,0.9326,0.8182,0.9284,0.2476,16052
Williams College,MA,3,25,1,1439,2044,0.5328,0.0749,0.1233,0.1282,0.001,0,0.0607,0.0793,0,66240,12445,0.9398,0.9893,0.9352,0.9545,0.9628,0.269,13750
Northeastern University,MA,3,25,1,1434,13345,0.4668,0.0392,0.0707,0.1272,0.0007,0.0001,0.0425,0.1986,0.0543,62789,12539,0.8617,0.8201,0.8757,0.8119,0.8268,0.388,25000
Wellesley College,MA,3,25,1,1403,2350,0.3749,0.0549,0.1123,0.2179,0.0009,0,0.0591,0.12,0.06,63340,11985,0.9097,0.985,0.9029,0.8958,0.9228,0.3267,9675
Boston College,MA,3,25,1,1378,9593,0.6197,0.0377,0.0975,0.0966,0.0005,0.0003,0.0295,0.065,0.0531,65595,14619,0.925,0.9384,0.9405,0.8321,0.9175,0.3587,18962
Brandeis University,MA,3,25,1,1377,3597,0.4618,0.0539,0.0781,0.1309,0.0006,0.0006,0.0289,0.2063,0.0389,65954,12627,0.8994,0.9418,0.904,0.8621,0.9151,0.4394,26250
Boston University,MA,3,25,1,1328,16512,0.4096,0.0382,0.1105,0.1438,0.0006,0.0013,0.0364,0.2189,0.0408,65809,13130,0.8652,0.8586,0.8749,0.8561,0.8504,0.3655,23500
Babson College,MA,3,25,1,1281,2283,0.3828,0.0517,0.1012,0.1196,0.0013,0.0009,0.0215,0.2663,0.0548,64612,16623,0.9082,0.9393,0.8947,0.9231,0.905,0.3662,24875
University of Massachusetts-Amherst,MA,3,25,1,1234,22958,0.6564,0.0386,0.0575,0.0986,0.0012,0.0004,0.0267,0.0494,0.0711,28000,12298,0.7614,0.7521,0.7755,0.7293,0.7676,0.5713,20600
Emerson College,MA,3,25,1,1232,3783,0.6714,0.0293,0.1089,0.0426,0.0013,0.0008,0.0428,0.0841,0.0188,59734,9605,0.8046,0.8471,0.8176,0.7083,0.8005,0.5536,21375
Bentley University,MA,3,25,1,1198,4155,0.6219,0.0313,0.0765,0.0804,0,0.001,0.0183,0.1355,0.0351,60895,13380,0.8867,0.9253,0.9104,0.9375,0.8847,0.4601,25000
Simmons University,MA,3,25,1,1179,1752,0.6615,0.0719,0.0725,0.093,0.0017,0.0006,0.0434,0.0211,0.0342,54659,7837,0.7395,0.8093,0.7463,0.6,0.6615,0.7068,23000
University of Massachusetts-Lowell,MA,3,25,1,1172,12909,0.6327,0.0605,0.1088,0.0913,0.0015,0.0003,0.0293,0.0359,0.0397,26318,11704,0.5597,0.5216,0.5853,0.4571,0.5777,0.5273,17928
Emmanuel College,MA,3,25,1,1122,1907,0.7111,0.0503,0.1044,0.0446,0.0016,0.001,0.032,0.0157,0.0393,53199,8708,0.6686,0.9521,0.681,0.7083,0.6521,0.6974,23500
Wentworth Institute of Technology,MA,3,25,1,1117,4274,0.6301,0.0421,0.0304,0.0709,0.0019,0.0002,0.0611,0.0805,0.0828,49642,8307,0.6503,0.8187,0.7095,0.6,0.6322,0.6825,22500
Western New England University,MA,3,25,1,1096,2717,0.7346,0.0582,0.0802,0.0305,0.0022,0.0015,0.0151,0.0346,0.0431,48710,9262,0.6168,0.8678,0.635,0.4412,0.6122,0.7318,19500
Gordon College,MA,3,25,1,1074,1631,0.6934,0.0503,0.073,0.0503,0.0018,0.0006,0.0386,0.092,0,47568,8014,0.704,0.9056,0.6957,0.7,0.7255,0.6812,23250
MCPHS University,MA,3,25,1,1074,3791,0.4131,0.0694,0.0644,0.2345,0.0021,0.0005,0.0161,0.1306,0.0694,48040,9246,0.7793,0.7794,0.7901,0.5526,0.6426,0.681,25000
University of Massachusetts-Boston,MA,3,25,1,1073,12210,0.3477,0.1638,0.1448,0.128,0.0021,0.0002,0.0288,0.1231,0.0615,21884,10755,0.4508,0.4843,0.4052,0.4963,0.4658,0.5317,16250
Massachusetts College of Art and Design,MA,3,25,1,1069,1725,0.6296,0.04,0.0997,0.0788,0.0029,0.0012,0.0139,0.0458,0.0881,27638,10250,0.7189,0.7924,0.7331,0.7143,0.7216,0.5317,20000
Lesley University,MA,3,25,1,1064,1952,0.6393,0.0681,0.1235,0.043,0.001,0.002,0.042,0.0225,0.0584,40889,8116,0.5452,0.5475,0.5817,0.8333,0.595,0.6715,15750
Massachusetts Maritime Academy,MA,3,25,1,1052,1641,0.8659,0.011,0.036,0.0116,0.0018,0,0.0274,0.0061,0.0402,23454,7333,0.7563,0.8874,0.7606,0.6667,0.7186,0.7568,23250
Springfield College,MA,3,25,1,1045,2097,0.7992,0.0558,0.0725,0.0095,0.0029,0.0014,0.0176,0.0281,0.0129,48620,7991,0.6956,0.8957,0.7229,0.56,0.6985,0.783,20590
Becker College,MA,3,25,1,1037,1951,0.7063,0.0774,0.0856,0.0179,0.0046,0.0021,0.0323,0.0072,0.0666,48927,7721,0.3506,0.7153,0.3729,0,0.3125,0.7798,19500
University of Massachusetts-Dartmouth,MA,3,25,1,1025,6758,0.6159,0.1514,0.0937,0.0367,0.0019,0.0001,0.0373,0.0166,0.0465,25410,10768,0.4877,0.7181,0.4931,0.4409,0.4966,0.6932,18335
Suffolk University,MA,3,25,1,1020,5107,0.4339,0.0591,0.1142,0.0828,0.0014,0.0008,0.0204,0.2262,0.0613,48936,11758,0.5907,0.7929,0.6121,0.55,0.5595,0.5368,21000
Worcester State University,MA,3,25,1,1016,4891,0.6849,0.0797,0.1077,0.0425,0.0037,0.0004,0.0296,0.0072,0.0442,20892,8791,0.5579,0.5965,0.5863,0.24,0.5544,0.541,13520
Massachusetts College of Liberal Arts,MA,3,25,1,1015,1408,0.7443,0.0945,0.0746,0.022,0.005,0,0.0227,0.005,0.032,21680,8999,0.5328,0.7112,0.5582,0.4865,0.5262,0.7557,17500
