INSTNM,STABBR,PREDDEG,ST_FIPS,REGION,SAT_AVG,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COSTT4_A,AVGFACSAL,C150_4,PFTFTUG1_EF,C150_4_WHITE,C150_4_BLACK,C200_4,PCTFLOAN,DEBT_MDN
University of Northern Iowa,IA,3,19,4,1050,9943,0.8271,0.0271,0.0384,0.0121,0.0028,0.0009,0.0193,0.0367,0.0356,19751,7729,0.6505,0.6822,0.6587,0.3778,0.6577,0.5611,15849
Buena Vista University,IA,3,19,4,1046,1785,0.8224,0.023,0.0375,0.0129,0.0039,0.0017,0.0179,0.0207,0.0599,43514,6409,0.5283,0.414,0.6,0.3846,0.4725,0.7637,17301
Clarke University,IA,3,19,4,1043,788,0.8223,0.0533,0.0635,0.0127,0,0.0102,0.0216,0.0089,0.0076,42268,6038,0.6136,0.7349,0.6329,0.6,0.6763,0.7915,19664.5
Mount Mercy University,IA,3,19,4,990,1570,0.7917,0.0662,0.0153,0.0191,0.0134,0.0013,0.0153,0.0433,0.0344,41055,6086,0.5847,0.5043,0.6702,0,0.7151,0.8043,16795
Graceland University-Lamoni,IA,3,19,4,971,1305,0.6253,0.1004,0.1165,0.0115,0.0046,0.01,0.0391,0.0245,0.0682,38444,5511,0.4273,0.6946,0.531,0.3043,0.5612,0.7087,17201
Grand View University,IA,3,19,4,970,1876,0.6983,0.0832,0.0448,0.0272,0.0037,0.0021,0.0432,0.0229,0.0746,34943,6452,0.4816,0.5591,0.5236,0.1515,0.4927,0.7501,18000
Upper Iowa University,IA,3,19,4,968,3859,0.6561,0.1969,0.0578,0.0148,0.0039,0.0021,0.0215,0.0168,0.0301,39962,5869,0.4378,0.274,0.6757,0.0476,0.5532,0.6287,16378
Waldorf University,IA,3,19,4,960,1889,0.6278,0.1567,0.0842,0.0217,0.0111,0.0016,0.0138,0.0148,0.0683,32156,5099,0.2327,0.2353,0.2946,0.1961,0.3051,0.7486,10036.5
University of Dubuque,IA,3,19,4,923,1924,0.6091,0.1393,0.0878,0.0203,0.0042,0.0026,0.0327,0.0567,0.0473,38561,6738,0.4534,0.7348,0.4905,0.2647,0.4839,0.7747,16671.5
Iowa Wesleyan University,IA,3,19,4,917,520,0.3981,0.1635,0.0846,0.0577,0.0096,0.0077,0.05,0.0192,0.2096,40996,5640,0.2762,0.7669,0.3396,0.15,0.349,0.7648,12000
William Penn University,IA,3,19,4,889,1286,0.5871,0.1835,0.0995,0.014,0.0086,0.007,0.0202,0.0482,0.0319,35236,5723,0.3309,0.5725,0.4049,0.1852,0.3134,0.8171,14750
Northwest Nazarene University,ID,3,16,7,1113,1244,0.754,0.0185,0.1037,0.0217,0.0048,0.0032,0.0209,0.0056,0.0675,37621,6016,0.4901,0.6914,0.494,0.5,0.5183,0.5926,18000
University of Idaho,ID,3,16,7,1070,7735,0.7485,0.0147,0.1028,0.0138,0.0066,0.0023,0.0419,0.0502,0.0191,20045,8787,0.5611,0.7234,0.5818,0.1818,0.6028,0.4722,16750
Boise State University,ID,3,16,7,1047,16045,0.7352,0.0172,0.1195,0.021,0.0047,0.0042,0.044,0.0395,0.0146,18298,7491,0.3936,0.6143,0.3957,0.2885,0.4432,0.4091,14635
Brigham Young University-Idaho,ID,3,16,7,1036,32042,0.7618,0.0061,0.0347,0.0102,0.0034,0.0065,0.0632,0.0878,0.0263,12011,8403,0.5572,0.5436,0.5561,0.1667,0.5305,0.2306,6606
Lewis-Clark State College,ID,3,16,7,937,3038,0.8318,0.0118,0.0339,0.0115,0.0283,0.0046,0.0273,0.0217,0.029,15475,5817,0.3037,0.5643,0.33,0,0.2617,0.5904,10000
University of Chicago,IL,3,17,3,1508,5978,0.4344,0.0534,0.1096,0.1798,0.0017,0.0003,0.0447,0.1208,0.0554,70100,17399,0.9422,0.9845,0.9527,0.8654,0.9319,0.1871,14853
Northwestern University,IL,3,17,3,1470,8563,0.4844,0.059,0.1248,0.1711,0.0006,0,0.0508,0.0899,0.0194,67887,16067,0.9351,0.9502,0.942,0.8966,0.9422,0.268,16500
University of Illinois at Urbana-Champaign,IL,3,17,3,1320,32752,0.4661,0.0593,0.1048,0.1791,0.0006,0.0007,0.0298,0.1556,0.0038,29764,11827,0.852,0.845,0.8761,0.7967,0.8594,0.3584,17750
Wheaton College,IL,3,17,3,1306,2432,0.7496,0.0271,0.0551,0.0925,0.0008,0,0.0424,0.0313,0.0012,45154,9008,0.9053,0.9231,0.9084,0.8182,0.8983,0.4994,20913
Illinois Institute of Technology,IL,3,17,3,1275,2859,0.3428,0.0577,0.1623,0.1336,0.0028,0.0007,0.0273,0.2308,0.042,57277,12225,0.7139,0.6575,0.7086,0.6087,0.6719,0.4182,22500
Illinois Wesleyan University,IL,3,17,3,1229,1763,0.7107,0.0437,0.0698,0.0437,0,0.0006,0.0255,0.0902,0.0159,54580,8160,0.8072,0.9219,0.819,0.6452,0.8096,0.6135,26199.5
Loyola University Chicago,IL,3,17,3,1195,10906,0.5616,0.0525,0.1536,0.1217,0.0013,0.0031,0.0431,0.0491,0.0139,54324,10360,0.7489,0.8266,0.7743,0.4681,0.7422,0.5477,19500
Bradley University,IL,3,17,3,1141,4464,0.569,0.0484,0.0679,0.0284,0.0016,0.0007,0.0168,0.0148,0.2525,44130,8476,0.7447,0.844,0.7696,0.5873,0.7558,0.6452,23750
School of the Art Institute of Chicago,IL,3,17,3,1127,2848,0.3466,0.0341,0.1057,0.1103,0.0025,0.0007,0.0295,0.323,0.0478,59698,9651,0.6574,0.7554,0.629,0.5714,0.6417,0.3954,19809.5
North Central College,IL,3,17,3,1123,2626,0.6801,0.0381,0.1348,0.0282,0.0015,0.0008,0.0339,0.0183,0.0644,46799,8457,0.6867,0.6857,0.7122,0.3478,0.6326,0.7018,20000
University of Illinois at Chicago,IL,3,17,3,1105,17804,0.3222,0.0821,0.3074,0.2224,0.0006,0.0009,0.0308,0.0269,0.0067,25131,10852,0.578,0.6213,0.5718,0.4364,0.6223,0.4714,14000
Olivet Nazarene University,IL,3,17,3,1099,3348,0.7897,0.0797,0.0747,0.0197,0.0009,0.0015,0.0218,0.0111,0.0009,43883,6893,0.5716,0.7126,0.6115,0.2254,0.5624,0.7085,19000
Lewis University,IL,3,17,3,1090,4433,0.6212,0.0573,0.1915,0.0424,0.0007,0.0011,0.0307,0.0129,0.0422,37393,9140,0.6155,0.5008,0.6848,0.425,0.6314,0.6597,19500
Illinois State University,IL,3,17,3,1090,18571,0.7554,0.0841,0.1013,0.0214,0.0016,0.0009,0.0279,0.0041,0.0033,27421,7862,0.7222,0.6411,0.7449,0.5522,0.729,0.5797,16750
Trinity Christian College,IL,3,17,3,1081,1085,0.6516,0.0894,0.1207,0.0111,0.0028,0.0009,0.0157,0.0765,0.0313,39155,6661,0.5769,0.5442,0.6494,0.2258,0.5872,0.7437,20500
Trinity International University-Illinois,IL,3,17,3,1079,776,0.6482,0.1314,0.0503,0.0399,0,0.0026,0.0335,0.0219,0.0722,41416,7472,0.5824,0.6151,0.6048,0.3333,0.4701,0.8173,17750.5
Southern Illinois University-Edwardsville,IL,3,17,3,1068,11652,0.7346,0.1433,0.0427,0.0193,0.003,0.0015,0.0324,0.0111,0.0122,21538,7774,0.4792,0.5755,0.5418,0.2619,0.5297,0.5746,14250
University of St Francis,IL,3,17,3,1068,1606,0.6488,0.0847,0.1806,0.0174,0.0031,0.0025,0.033,0.0199,0.01,39175,7942,0.6286,0.5012,0.6806,0.4737,0.5665,0.69,19394
Elmhurst College,IL,3,17,3,1068,2778,0.6425,0.0554,0.1861,0.0551,0.0007,0.0011,0.0335,0,0.0256,43482,7985,0.689,0.5433,0.7225,0.4706,0.7431,0.8039,17577
University of Illinois at Springfield,IL,3,17,3,1067,2877,0.6409,0.1474,0.0806,0.0361,0.0021,0.0017,0.0278,0.0462,0.017,23469,7483,0.4983,0.3322,0.5309,0.3774,0.5164,0.4862,13889
